"Job","Host Name","Partition","QOS","Submit","Start","End","Elapsed Secs","Nodes Allocated","Raw Hours"
"64237752","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:16:13","2022-11-10 22:16:15","2022-11-10 22:19:03","168","1","0.04666666666666667"
"64237819","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:18:32","2022-11-10 22:19:28","2022-11-10 22:19:53","25","1","0.0008680555555555555"
"64237820","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:18:39","2022-11-10 22:19:28","2022-11-10 22:19:51","23","1","0.0007986111111111112"
"64237821","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:18:58","2022-11-10 22:19:28","2022-11-10 22:19:42","14","1","0.00012152777777777777"
"64237822","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:19:01","2022-11-10 22:19:28","2022-11-10 23:20:07","3639","1","0.06317708333333333"
"64237823","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:19:06","2022-11-10 22:19:28","2022-11-10 23:20:07","3639","1","0.06317708333333333"
"64237824","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:19:14","2022-11-10 22:19:28","2022-11-10 23:19:44","3616","1","0.06277777777777778"
"64237825","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:19:21","2022-11-10 22:19:28","2022-11-10 23:19:44","3616","1","0.06277777777777778"
"64237829","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:19:30","2022-11-10 22:20:30","2022-11-10 23:20:58","3628","1","0.06298611111111112"
"64237830","cori haswell","regular_hsw","flex","2022-11-10 22:19:30","2022-11-12 05:24:02","2022-11-12 05:54:20","1818","4","2.02"
"64237831","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:19:35","2022-11-10 22:20:30","2022-11-10 23:20:58","3628","1","0.06298611111111112"
"64237832","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:19:41","2022-11-10 22:20:30","2022-11-10 23:20:58","3628","1","0.06298611111111112"
"64237833","cori haswell","interactive","interactive","2022-11-10 22:19:45","2022-11-10 22:19:45","2022-11-10 23:59:59","6014","1","1.6705555555555556"
"64237833","cori haswell","interactive","interactive","2022-11-10 22:19:45","2022-11-11 00:00:00","2022-11-11 00:11:24","684","1","0.19"
"64237834","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:19:47","2022-11-10 22:20:30","2022-11-10 23:20:54","3624","1","0.06291666666666666"
"64237835","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:19:52","2022-11-10 22:20:30","2022-11-10 23:20:54","3624","1","0.06291666666666666"
"64237836","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:20:00","2022-11-10 22:20:30","2022-11-10 23:20:54","3624","1","0.06291666666666666"
"64237837","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:20:14","2022-11-10 22:20:30","2022-11-10 23:21:04","3634","1","0.06309027777777777"
"64237838","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:20:19","2022-11-10 22:20:21","2022-11-10 22:21:52","91","1","0.025277777777777777"
"64237839","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:20:21","2022-11-10 22:20:30","2022-11-10 23:21:04","3634","1","0.06309027777777777"
"64237840","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:20:31","2022-11-10 22:21:28","2022-11-10 23:21:49","3621","1","0.06286458333333333"
"64237842","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:20:39","2022-11-10 22:21:28","2022-11-10 23:22:04","3636","1","0.063125"
"64237843","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:20:49","2022-11-10 22:21:28","2022-11-10 23:22:04","3636","1","0.063125"
"64237844","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:20:56","2022-11-10 22:21:28","2022-11-10 23:22:04","3636","1","0.063125"
"64237862","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:21:03","2022-11-10 22:21:28","2022-11-10 23:21:44","3616","1","0.06277777777777778"
"64237864","cori haswell","interactive","interactive","2022-11-10 22:21:06","2022-11-10 22:21:06","2022-11-10 22:21:24","18","1","0.005"
"64237865","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:21:09","2022-11-10 22:21:28","2022-11-10 23:21:44","3616","1","0.06277777777777778"
"64237866","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:21:15","2022-11-10 22:21:28","2022-11-10 23:21:44","3616","1","0.06277777777777778"
"64237867","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:21:21","2022-11-10 22:21:28","2022-11-10 23:21:44","3616","1","0.06277777777777778"
"64237868","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:21:26","2022-11-10 22:21:28","2022-11-10 23:21:44","3616","1","0.06277777777777778"
"64237869","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:21:32","2022-11-10 22:22:28","2022-11-10 23:22:51","3623","1","0.06289930555555556"
"64237870","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:21:39","2022-11-10 22:22:30","2022-11-10 23:22:51","3621","1","0.06286458333333333"
"64237871","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:21:46","2022-11-10 22:22:31","2022-11-10 23:22:51","3620","1","0.06284722222222222"
"64237873","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:21:54","2022-11-10 22:22:31","2022-11-10 23:22:51","3620","1","0.06284722222222222"
"64237874","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:22:02","2022-11-10 22:22:31","2022-11-10 23:22:52","3621","1","0.06286458333333333"
"64237875","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:22:10","2022-11-10 22:22:31","2022-11-10 23:23:00","3629","1","0.06300347222222222"
"64237876","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:22:17","2022-11-10 22:22:31","2022-11-10 23:23:00","3629","1","0.06300347222222222"
"64237877","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:22:27","2022-11-10 22:22:31","2022-11-10 23:23:00","3629","1","0.06300347222222222"
"64237925","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:22:32","2022-11-10 22:23:30","2022-11-10 23:24:06","3636","1","0.063125"
"64237926","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:22:38","2022-11-10 22:23:30","2022-11-10 23:23:53","3623","1","0.06289930555555556"
"64237927","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:22:43","2022-11-10 22:23:30","2022-11-10 23:23:58","3628","1","0.06298611111111112"
"64237928","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:22:49","2022-11-10 22:23:30","2022-11-10 23:23:58","3628","1","0.06298611111111112"
"64237929","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:22:55","2022-11-10 22:23:30","2022-11-10 23:23:58","3628","1","0.06298611111111112"
"64237930","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:23:02","2022-11-10 22:23:30","2022-11-10 23:23:55","3625","1","0.06293402777777778"
"64237931","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:23:05","2022-11-10 22:23:30","2022-11-10 22:23:43","13","1","0.00011284722222222222"
"64237932","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:23:07","2022-11-10 22:23:30","2022-11-10 22:29:54","384","1","0.0033333333333333335"
