"Job","Host Name","Partition","QOS","Submit","Start","End","Elapsed Secs","Nodes Allocated","Raw Hours"
"64133823","cori haswell","shared","shared","2022-11-07 10:08:11","2022-11-07 11:34:32","2022-11-07 11:34:35","3","1","0.00002604166666666667"
"64133824","cori haswell","regular_hsw","premium","2022-11-07 10:08:13","2022-11-07 10:08:15","2022-11-07 10:44:05","2150","1","0.5972222222222222"
"64133825","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:08:23","2022-11-07 11:16:30","2022-11-07 11:24:05","455","23","2.9069444444444446"
"64133827","cori haswell","shared","shared","2022-11-07 10:08:34","2022-11-07 11:34:32","2022-11-07 11:36:05","93","1","0.0008072916666666667"
"64133828","cori haswell","genepool_shared","genepool_shared","2022-11-07 10:08:34","2022-11-07 10:08:48","2022-11-07 10:55:10","2782","1","0.04829861111111111"
"64133829","cori haswell","realtime","realtime_m2218","2022-11-07 10:08:38","2022-11-07 10:08:40","2022-11-07 10:18:57","617","1","0.1713888888888889"
"64133830","cori haswell","regular_hsw","premium","2022-11-07 10:08:50","2022-11-07 10:08:52","2022-11-07 10:44:05","2113","1","0.5869444444444445"
"64133831","cori haswell","shared","shared","2022-11-07 10:08:52","2022-11-07 11:34:32","2022-11-07 11:36:03","91","1","0.0007899305555555555"
"64133835","cori haswell","interactive","interactive","2022-11-07 10:08:59","2022-11-07 10:08:59","2022-11-07 10:20:25","686","4","0.7622222222222222"
"64133837","cori haswell","shared","shared","2022-11-07 10:09:09","2022-11-07 11:52:50","2022-11-07 11:54:15","85","1","0.0007378472222222222"
"64133838","cori haswell","realtime","realtime_m2218","2022-11-07 10:09:09","2022-11-07 10:09:13","2022-11-07 10:22:21","788","1","0.21888888888888888"
"64133840","cori haswell","genepool","jgi_special_fungalp","2022-11-07 10:09:15","2022-11-07 10:09:49","2022-11-07 10:09:55","6","1","0.0016666666666666668"
"64133842","cori haswell","genepool","jgi_special_fungalp","2022-11-07 10:09:18","2022-11-07 10:09:49","2022-11-07 10:09:55","6","1","0.0016666666666666668"
"64133844","cori haswell","genepool","jgi_special_fungalp","2022-11-07 10:09:20","2022-11-07 10:09:49","2022-11-07 10:09:55","6","1","0.0016666666666666668"
"64133849","cori haswell","shared","shared","2022-11-07 10:09:29","2022-11-07 11:52:50","2022-11-07 11:54:27","97","1","0.0008420138888888889"
"64133852","cori haswell","shared","shared","2022-11-07 10:09:47","2022-11-07 11:53:38","2022-11-07 11:54:59","81","1","0.000703125"
"64133878","cori haswell","shared","shared","2022-11-07 10:10:06","2022-11-07 11:53:39","2022-11-07 11:55:04","85","1","0.0007378472222222222"
"64133889","cori haswell","realtime","realtime_m2218","2022-11-07 10:10:40","2022-11-07 10:10:45","2022-11-07 10:22:41","716","1","0.1988888888888889"
"64133906","cori haswell","regular_hsw","premium","2022-11-07 10:11:22","2022-11-07 10:13:28","2022-11-07 10:13:53","25","8","0.05555555555555555"
"64133907","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:11:22","2022-11-07 10:23:36","2022-11-07 10:53:54","1818","16","8.08"
"64133909","cori haswell","interactive","interactive","2022-11-07 10:11:35","2022-11-07 10:11:35","2022-11-07 11:55:52","6257","6","10.428333333333333"
"64133910","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:11:48","2022-11-07 10:11:51","2022-11-07 10:15:15","204","1","0.007083333333333333"
"64133911","cori haswell","shared","shared","2022-11-07 10:11:52","2022-11-07 11:53:39","2022-11-07 11:53:45","6","1","0.00005208333333333334"
"64133913","cori haswell","shared","shared","2022-11-07 10:12:10","2022-11-07 11:53:39","2022-11-07 11:56:27","168","1","0.0014583333333333334"
"64133914","cori haswell","regular_hsw","premium","2022-11-07 10:12:17","2022-11-07 10:14:39","2022-11-07 12:11:04","6985","16","31.044444444444444"
"64133915","cori haswell","genepool_shared","genepool_shared","2022-11-07 10:12:22","2022-11-07 10:12:51","2022-11-07 10:13:53","62","1","0.0021527777777777778"
"64133918","cori haswell","genepool_shared","genepool_shared","2022-11-07 10:12:32","2022-11-07 10:12:51","2022-11-07 10:13:53","62","1","0.0021527777777777778"
"64133919","cori haswell","shared","shared","2022-11-07 10:12:32","2022-11-07 11:53:39","2022-11-07 11:56:15","156","1","0.0013541666666666667"
"64133920","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:12:46","2022-11-07 10:32:58","2022-11-07 11:03:20","1822","24","12.146666666666667"
"64133921","cori haswell","regular_hsw","premium","2022-11-07 10:12:49","2022-11-07 10:16:36","2022-11-07 10:16:39","3","8","0.006666666666666667"
"64133922","cori haswell","shared","shared","2022-11-07 10:12:51","2022-11-07 11:53:39","2022-11-07 11:56:15","156","1","0.0013541666666666667"
"64133923","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:12:51","2022-11-07 10:44:07","2022-11-07 11:14:29","1822","24","12.146666666666667"
"64133924","cori haswell","regular_hsw","premium","2022-11-07 10:12:53","2022-11-07 10:16:36","2022-11-07 23:59:59","49403","2","27.44611111111111"
"64133924","cori haswell","regular_hsw","premium","2022-11-07 10:12:53","2022-11-08 00:00:00","2022-11-08 00:03:00","180","2","0.1"
"64133928","cori haswell","genepool_shared","genepool_shared","2022-11-07 10:12:57","2022-11-07 10:13:50","2022-11-07 10:14:00","10","1","0.00034722222222222224"
"64133929","cori haswell","shared","shared","2022-11-07 10:13:10","2022-11-07 11:53:39","2022-11-07 12:22:37","1738","1","0.015086805555555555"
"64133932","cori haswell","shared","shared","2022-11-07 10:13:28","2022-11-07 11:53:39","2022-11-07 11:56:12","153","1","0.001328125"
"64133933","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:13:31","2022-11-07 10:23:29","2022-11-07 10:24:00","31","1","0.008611111111111111"
"64133936","cori haswell","shared","shared","2022-11-07 10:13:46","2022-11-07 11:53:39","2022-11-07 11:56:06","147","1","0.0012760416666666666"
"64133937","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:13:48","2022-11-07 10:23:29","2022-11-07 10:24:48","79","4","0.08777777777777777"
"64133938","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:13:52","2022-11-07 10:14:49","2022-11-07 10:15:32","43","1","0.0014930555555555556"
"64133939","cori haswell","interactive","interactive","2022-11-07 10:13:52","2022-11-07 10:13:52","2022-11-07 14:13:53","14401","1","4.000277777777778"
"64133940","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:13:52","2022-11-07 10:34:29","2022-11-07 10:54:29","1200","32","10.666666666666666"
"64133942","cori haswell","regular_hsw","premium","2022-11-07 10:13:54","2022-11-07 10:17:38","2022-11-07 10:18:21","43","16","0.19111111111111112"
"64133943","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:14:01","2022-11-07 10:14:49","2022-11-07 10:15:47","58","1","0.002013888888888889"
"64133944","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:14:10","2022-11-07 10:40:40","2022-11-07 10:41:26","46","32","0.4088888888888889"
"64133945","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:14:15","2022-11-07 10:14:49","2022-11-07 10:20:07","318","1","0.011041666666666667"
"64133946","cori haswell","shared","shared","2022-11-07 10:14:15","2022-11-07 11:53:39","2022-11-07 11:53:44","5","1","0.00004340277777777778"
"64133948","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:14:26","2022-11-07 10:14:49","2022-11-07 10:44:05","1756","1","0.06097222222222222"
"64133949","cori haswell","shared","shared","2022-11-07 10:14:34","2022-11-07 11:53:39","2022-11-07 11:57:42","243","1","0.002109375"
"64133951","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:14:36","2022-11-07 10:14:49","2022-11-07 10:26:54","725","1","0.025173611111111112"
"64133954","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:14:44","2022-11-07 11:04:25","2022-11-07 11:34:44","1819","32","16.16888888888889"
"64133956","cori haswell","shared","shared","2022-11-07 10:14:53","2022-11-07 11:53:39","2022-11-07 11:57:40","241","1","0.002092013888888889"
"64133957","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:14:56","2022-11-07 10:15:50","2022-11-07 10:21:21","331","1","0.011493055555555555"
"64133958","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:15:06","2022-11-07 10:15:50","2022-11-07 11:00:51","2701","1","0.09378472222222223"
